Name,Team,playerid,mlbid
A.J. Kennedy,- - -,sa876029,621487
A.J. Simcox,- - -,sa658901,623510
Aaron Ackerman,Dodgers (R),sa3007641,679299
Aaron Arruda,Athletics (A-),sa3004283,676681
Aaron Bond,- - -,sa918977,670252
Aaron Brown,Phillies (AA),sa598306,606939
Aaron Familia,Brewers (R),sa916733,665707
Aaron Knapp,- - -,sa873277,669235
Aaron Stroosma,Mariners (A+),sa3004783,677554
Aaron Whitefield,- - -,sa886360,664334
Abdiel Layer,Giants (R),sa3007291,676075
Abiatal Avelino,- - -,sa657893,623214
Abiezel Ramirez,Rays (R),sa3003282,672656
Abraham Castillo,Astros (R),sa3005748,678644
Abraham Toro,- - -,sa918020,647351
Abraham Zambrano,Rangers (R),sa3006566,681717
Abrahan Gutierrez,Phillies (R),sa3004263,670868
Adalberto Carrillo,Nationals (A-),sa3004967,667692
Adam Brett Walker,Nationals (AA),sa621791,608724
Adam Hall,Orioles (A-),sa3005077,647228
Adam Haseley,- - -,sa915818,656514
Adam Law,- - -,sa738573,643407
Adam McGinnis,White Sox (R),sa3004077,677162
Adam Parks,Rangers (AA),sa829657,657710
Adam Walton,Diamondbacks (A+),sa875273,664941
Adanson Cruz,- - -,sa3005722,677620
Adbert Alzolay,Cubs (AAA),sa735853,640470
Adderlin Santana,Angels (R),sa3003337,672797
Adderling Ruiz,Nationals (A),sa551002,594612
Addiel Matias,Nationals (R),sa3005930,678874
Addison Barger,Blue Jays (R),sa3006910,680718
Ademar Rifaela,Orioles (AA),sa736911,642488
Aderlin Rodriguez,Orioles (AA),sa511026,573669
Adolfo Ramirez,Dodgers (R),sa3003015,672666
Adonis Figuereo,Tigers (R),sa3005758,678732
Adonis Giron,Marlins (R),sa3005719,677589
Adonis Rosa,Yankees (A+),sa828513,650738
Adonis Uceta,Mets (AA),sa737486,642637
Adrian Antunez,Padres (R),sa3002861,672869
Adrian Hernandez,Mets (R),sa3005487,677600
Adrian Marin,- - -,sa657939,546997
Adrian Pernalete,Rangers (R),sa918034,665991
Adrian Ramos,Blue Jays (R),sa3007313,681558
Adrian Rondon,- - -,sa877519,660632
Adrian Spitz,Athletics (A-),sa3004185,677227
Adrian Tovalin,Astros (A),sa915851,668210
Adrian Valerio,Pirates (A+),sa828164,650832
Agustin Marte,Twins (R),sa916999,667602
Agustin Ruiz,Padres (R),sa3004149,672361
Aiverson Palacios,Reds (R),sa3003398,673370
AJ Graffanino,- - -,sa3008030,664690
Akil Baddoo,Twins (A),sa917953,668731
Alan Crowley,- - -,sa918573,670409
Alan Marrero,- - -,sa918102,669909
Alan Mejia,Yankees (R),sa3008420,683013
Alan Trejo,Rockies (A+),sa3002726,676701
Alay Lago,Braves (AA),sa914668,667605
Albee Weiss,Twins (R),sa3007292,676293
Alberis Ferrer,Brewers (R),sa3005584,678910
Alberoni Nunez,Twins (R),sa3002633,672892
Albert Avila,Athletics (R),sa3006204,678909
Albert Baur,Pirates (A+),sa875894,665086
Albert Guaimaro,Marlins (A-),sa917084,665911
Albert Hinirio,Cubs (R),sa3003397,673361
Albert Jerez,Phillies (R),sa3008378,680858
Albert Suarez,Dodgers (R),sa3002855,672766
Alberti Chavez,- - -,sa657456,622482
Alberto Baldonado,Cubs (AAA),sa550649,593604
Alberto Carreon,- - -,sa508493,549930
Alberto Figuereo,Rays (R),sa3005583,678902
Alberto Mineo,Blue Jays (A+),sa660295,600931
Alberto Rodriguez,Blue Jays (R),sa3005603,657256
Alberto Schmidt,Red Sox (A-),sa918345,670077
Alberto Triunfel,- - -,sa597103,600982
Aldemar Burgos,- - -,sa875196,664757
Aldenis Sanchez,Rays (R),sa3003222,672479
Aldo Espinoza,Dodgers (R),sa917334,665852
Aldo Ovando,Blue Jays (R),sa919376,670538
Aldrem Corredor,- - -,sa736852,625506
Aldrich De Jongh,Dodgers (R),sa3007974,680884
Alec Bohm,- - -,sa3007284,664761
Alec Keller,- - -,sa829219,657636
Alejandro Fernandez,- - -,sa3005550,678740
Alejandro Flores,Nationals (A),sa736822,642299
Alejandro Garcia,Astros (AAA),sa880808,665701
Alejandro Juvier,- - -,sa829317,657631
Alejandro Kirk,Blue Jays (R),sa3005337,672386
Alejandro Made,Phillies (R),sa3005218,677660
Alejandro Marte,Indians/Brewers (R),sa3005234,677930
Alejandro Medina,- - -,sa3003390,673252
Alejandro Ortiz,- - -,sa508095,554428
Alejandro Peguero,- - -,sa3006736,682428
Alejandro Salazar,- - -,sa827937,650362
Alejo Lopez,Reds (A),sa875851,664670
Alek Thomas,- - -,sa3006892,677950
Alex Burg,Dodgers (AAA),sa502124,571529
Alex Call,- - -,sa913343,669743
Alex De Goti,- - -,sa919320,621008
Alex Destino,- - -,sa3004031,656369
Alex Dunlap,- - -,sa3004878,668671
Alex Guerrero,Yankees (R),sa3007873,677307
Alex Hall,Brewers (R),sa3007023,673064
Alex Holderbach,Astros (A-),sa3006789,681901
Alex Jackson,- - -,sa828663,656577
