Name,Team,playerid
A.J. Alexy,Rangers (A),sa919115
A.J. Bogucki,- - -,sa738484
A.J. Ladwig,- - -,sa602810
A.J. Moore,Reds (R),sa3007708
Aaron Ashby,- - -,sa3007225
Aaron Brown,- - -,sa598306
Aaron Civale,Indians (AA),sa874216
Aaron Cox,Angels (A+),sa875803
Aaron Fernandez,- - -,sa3004681
Aaron Fletcher,- - -,sa3007591
Aaron Ford,Mets (A),sa3004476
Aaron Fossas,Reds (A+),sa919827
Aaron Kurcz,Mexican (AAA),sa549903
Aaron Leasher,- - -,sa3004701
Aaron McGarity,Yankees (A-),sa873280
Aaron Phillips,Giants (A),sa3004747
Aaron Pinto,- - -,sa3006823
Aaron Quillen,- - -,sa918489
Aaron Shortridge,Pirates (A-),sa3006759
Aaron Soto,White Sox (R),sa915634
Abdallah Aris,Phillies (A-),sa871772
Abdiel Mendoza,- - -,sa916829
Abdiel Saldana,Astros (A+),sa828523
Abel Adames,Giants (R),sa917912
Abel Duarte,Yankees (A-),sa828135
Abel Estevez,Yankees (R),sa3003014
Abel Moya,Dodgers (R),sa3007603
Abismael Villaman,- - -,sa3006152
Abner Uribe,Brewers (R),sa3008177
Abraham Almonte,Diamondbacks (A),sa3004017
Abraham Figueroa,- - -,sa3005449
Abrahan Hiraldo,Nationals (R),sa3006620
Abrahan Lopez,Rangers (R),sa3003107
Adalberto Pena,- - -,sa873174
Adam Atkins,- - -,sa918491
Adam Bleday,- - -,sa3004085
Adam Bray,Twins (A+),sa876116
Adam Choplick,Rangers (AA),sa598307
Adam Cox,- - -,sa3007616
Adam Hill,Mets (A-),sa876313
Adam Hofacket,- - -,sa875282
Adam Kloffenstein,Blue Jays (R),sa3008578
Adam Lau,Red Sox (AA),sa876250
Adam Oller,- - -,sa913099
Adam Parks,Rangers (AA),sa829657
Adam Ravenelle,Tigers (AA),sa602703
Adam Reuss,- - -,sa3003993
Adam Scott,- - -,sa3006826
Adam Stauffer,Orioles (R),sa3005146
Adam Wolf,- - -,sa3007587
Adams Cuevas,Blue Jays (R),sa920823
Adan Frias,Royals (R),sa3003007
Adauri Vicente,Indians (R),sa3008473
Adbert Alzolay,Cubs (AAA),sa735853
Addison Russ,- - -,sa3004106
Adenys Bautista,Indians (R),sa3007905
Adolfo Bauza,Tigers (R),sa3006384
Adolfo Ramirez,Dodgers (R),sa3003015
Adoni Kery,- - -,sa947297
Adonis De La Cruz,Mariners (A),sa737023
Adonis Medina,Phillies (A+),sa832877
Adonis Paulino,Diamondbacks (R),sa3008042
Adonis Pichardo,Pirates (R),sa872561
Adonis Rosa,- - -,sa828513
Adonis Uceta,- - -,sa737486
Adriam Castillo,- - -,sa921282
Adrian Alcantara,Royals (R),sa974592
Adrian Almeida,- - -,sa658087
Adrian Aybar,Mets (R),sa3006505
Adrian C. Ramirez,- - -,sa509467
Adrian Chacon,Reds (A),sa3004806
Adrian De Horta,- - -,sa737857
Adrian Del Moral,Diamondbacks (A-),sa3006816
Adrian Garza,Mexican (AAA),sa509404
Adrian Hernandez,Blue Jays (R),sa3006177
Adrian Martinez,- - -,sa873428
Adrian Martinez,Nationals (R),sa917158
Adrian Morejon,- - -,sa969093
Adrian Navas,Rays (A+),sa735851
Adrian Rodriguez,- - -,sa877346
