"","Name","Team","birthday","mlbid","playerid"
"1","A.J. Alexy","Rangers (A)",1998-04-21,669935,"sa919115"
"2","A.J. Bogucki","- - -",1995-05-02,641375,"sa738484"
"3","A.J. Ladwig","- - -",1992-12-24,607609,"sa602810"
"4","A.J. Moore","Reds (R)",1996-01-04,656759,"sa3007708"
"5","Aaron Ashby","- - -",1998-05-24,676879,"sa3007225"
"6","Aaron Brown","- - -",1992-06-20,606939,"sa598306"
"7","Aaron Civale","Indians (AA)",1995-06-12,650644,"sa874216"
"8","Aaron Cox","Angels (A+)",1994-08-05,663329,"sa875803"
"9","Aaron Fernandez","- - -",1994-09-25,677475,"sa3004681"
"10","Aaron Fletcher","- - -",1996-02-25,667465,"sa3007591"
"11","Aaron Ford","Mets (A)",1994-09-09,676806,"sa3004476"
"12","Aaron Fossas","Reds (A+)",1992-09-02,670579,"sa919827"
"13","Aaron Kurcz","Mexican (AAA)",1990-08-08,594891,"sa549903"
"14","Aaron Leasher","- - -",1996-04-28,669468,"sa3004701"
"15","Aaron McGarity","Yankees (A-)",1995-01-31,641849,"sa873280"
"16","Aaron Phillips","Giants (A)",1996-10-11,676634,"sa3004747"
"17","Aaron Pinto","- - -",1996-07-03,681259,"sa3006823"
"18","Aaron Quillen","- - -",1993-12-19,670372,"sa918489"
"19","Aaron Shortridge","Pirates (A-)",1997-05-29,663336,"sa3006759"
"20","Aaron Soto","White Sox (R)",1995-09-13,682151,"sa915634"
"21","Abdallah Aris","Phillies (A-)",1996-10-08,661548,"sa871772"
"22","Abdiel Mendoza","- - -",1998-09-19,665959,"sa916829"
"23","Abdiel Saldana","Astros (A+)",1996-03-13,650605,"sa828523"
"24","Abel Adames","Giants (R)",1995-12-08,665981,"sa917912"
"25","Abel Duarte","Yankees (A-)",1994-05-20,650717,"sa828135"
"26","Abel Estevez","Yankees (R)",2000-01-17,672665,"sa3003014"
"27","Abel Moya","Dodgers (R)",2001-06-06,679402,"sa3007603"
"28","Abismael Villaman","- - -",1995-09-27,680668,"sa3006152"
"29","Abner Uribe","Brewers (R)",2000-06-20,682842,"sa3008177"
"30","Abraham Almonte","Diamondbacks (A)",1993-12-03,676810,"sa3004017"
"31","Abraham Figueroa","- - -",2001-02-27,678919,"sa3005449"
"32","Abrahan Hiraldo","Nationals (R)",1998-10-07,681454,"sa3006620"
"33","Abrahan Lopez","Rangers (R)",1999-09-27,673446,"sa3003107"
