Name,Team,playerid
Jacob deGrom,Mets,10954
Chris Sale,Red Sox,10603
Corey Kluber,Indians,2429
Max Scherzer,Nationals,3137
Justin Verlander,Astros,8700
Patrick Corbin,Diamondbacks,9323
Gerrit Cole,Astros,13125
Trevor Bauer,Indians,12703
Luis Severino,Yankees,15890
Stephen Strasburg,Nationals,10131
Aaron Nola,Phillies,16149
Carlos Carrasco,Indians,6632
Zack Greinke,Diamondbacks,1943
Jimmy Nelson,Brewers,10547
Clayton Kershaw,Dodgers,2036
Blake Snell,Rays,13543
James Paxton,Mariners,11828
Chris Archer,Rays,6345
German Marquez,Rockies,15038
Mike Clevinger,Indians,12808
Miles Mikolas,Cardinals,9803
Kyle Freeland,Rockies,16256
Noah Syndergaard,Mets,11762
Zack Wheeler,Mets,10310
Mike Foltynewicz,Braves,10811
Jose Quintana,- - -,11423
Jeff Samardzija,Giants,3254
Jameson Taillon,Pirates,11674
Yu Darvish,- - -,13074
Dallas Keuchel,Astros,9434
Kenley Jansen,Dodgers,3096
Blake Treinen,Athletics,12572
Marco Gonzales,Mariners,15467
Zack Godley,Diamondbacks,14862
Edwin Diaz,Mariners,14710
Michael Fulmer,Tigers,13218
Alex Wood,Dodgers,13781
Danny Duffy,Royals,3542
Gio Gonzalez,Nationals,7448
Brad Peacock,Astros,5401
Marcus Stroman,Blue Jays,13431
Carlos Martinez,Cardinals,11682
Craig Kimbrel,Red Sox,6655
Jose Berrios,Twins,14168
Walker Buehler,Dodgers,19374
Michael Wacha,Cardinals,14078
Charlie Morton,Astros,4676
Robbie Ray,Diamondbacks,11486
Kyle Hendricks,Cubs,12049
Drew Pomeranz,Red Sox,11426
J.A. Happ,- - -,7410
Jon Gray,Rockies,14916
Chase Anderson,Brewers,6895
Mike Leake,- - -,10130
Lance McCullers Jr.,Astros,14120
Roberto Osuna,Blue Jays,13764
Ervin Santana,Twins,3200
Lance Lynn,- - -,2520
Sonny Gray,- - -,12768
Kyle Gibson,Twins,10123
