"","Name","Team","playerid","name_last","name_first","name_given","mlbid","birthday"
"1","Jacob deGrom","Mets","10954","deGrom","Jacob","Jacob Anthony",594798,1988-06-19
"2","Chris Sale","Red Sox","10603","Sale","Chris","Christopher",519242,1989-03-30
"3","Corey Kluber","Indians","2429","Kluber","Corey","Corey Scott",446372,1986-04-10
"4","Max Scherzer","Nationals","3137","Scherzer","Max","Maxwell M.",453286,1984-07-27
"5","Justin Verlander","Astros","8700","Verlander","Justin","Justin Brooks",434378,1983-02-20
"6","Patrick Corbin","Diamondbacks","9323","Corbin","Patrick","Patrick Alan",571578,1989-07-19
"7","Gerrit Cole","Astros","13125","Cole","Gerrit","Gerrit Alan",543037,1990-09-08
"8","Trevor Bauer","Indians","12703","Bauer","Trevor","Trevor Andrew",545333,1991-01-17
"9","Luis Severino","Yankees","15890","Severino","Luis","Luis",622663,1994-02-20
"10","Stephen Strasburg","Nationals","10131","Strasburg","Stephen","Stephen James",544931,1988-07-20
"11","Aaron Nola","Phillies","16149","Nola","Aaron","Aaron Michael",605400,1993-06-04
"12","Carlos Carrasco","Indians","6632","Carrasco","Carlos","Carlos Luis",471911,1987-03-21
"13","Zack Greinke","Diamondbacks","1943","Greinke","Zack","Donald Zachary",425844,1983-10-21
"14","Jimmy Nelson","Brewers","10547",NA,NA,NA,NA,NA
"15","Clayton Kershaw","Dodgers","2036","Kershaw","Clayton","Clayton Edward",477132,1988-03-19
"16","Blake Snell","Rays","13543","Snell","Blake","Blake Ashton",605483,1992-12-04
"17","James Paxton","Mariners","11828","Paxton","James","James Alston",572020,1988-11-06
"18","Chris Archer","Rays","6345","Archer","Chris","Christopher Alan",502042,1988-09-26
"19","German Marquez","Rockies","15038","Marquez","German","German Andres",608566,1995-02-22
"20","Mike Clevinger","Indians","12808","Clevinger","Mike","Michael Anthony",605182,1990-12-21
"21","Miles Mikolas","Cardinals","9803","Mikolas","Miles","Miles Tice",571945,1988-08-23
"22","Kyle Freeland","Rockies","16256","Freeland","Kyle","Kyle Richard",607536,1993-05-14
"23","Noah Syndergaard","Mets","11762","Syndergaard","Noah","Noah Seth",592789,1992-08-29
"24","Zack Wheeler","Mets","10310","Wheeler","Zach","Zachary Harrison",554430,1990-05-30
"25","Mike Foltynewicz","Braves","10811","Foltynewicz","Mike","Michael Gary",592314,1991-10-07
"26","Jose Quintana","- - -","11423","Quintana","Jose","Jose Guillermo",500779,1989-01-24
"27","Jeff Samardzija","Giants","3254","Samardzija","Jeff","Jeffrey Alan",502188,1985-01-23
"28","Jameson Taillon","Pirates","11674","Taillon","Jameson","Jameson Lee",592791,1991-11-18
"29","Yu Darvish","- - -","13074","Darvish","Yu","Sefat Farid Yu",506433,1986-08-16
"30","Dallas Keuchel","Astros","9434","Keuchel","Dallas","Dallas",572971,1988-01-01
"31","Kenley Jansen","Dodgers","3096","Jansen","Kenley","Kenley Geronimo",445276,1987-09-30
"32","Blake Treinen","Athletics","12572","Treinen","Blake","Blake M.",595014,1988-06-30
"33","Marco Gonzales","Mariners","15467","Gonzales","Marco","Marco Elias",594835,1992-02-16
"34","Zack Godley","Diamondbacks","14862","Godley","Zack","Zachary Thomas",643327,1990-04-21
"35","Edwin Diaz","Mariners","14710","Diaz","Edwin","Edwin Orlando",621242,1994-03-22
"36","Michael Fulmer","Tigers","13218","Fulmer","Michael","Michael Joseph",605242,1993-03-15
"37","Alex Wood","Dodgers","13781","Wood","Alex","Robert Alexander",622072,1991-01-12
"38","Danny Duffy","Royals","3542","Duffy","Danny","Daniel Richard",518633,1988-12-21
"39","Gio Gonzalez","Nationals","7448","Gonzalez","Gio","Giovany Aramis",461829,1985-09-19
"40","Brad Peacock","Astros","5401","Peacock","Brad","Bradley J.",502748,1988-02-02
"41","Marcus Stroman","Blue Jays","13431","Stroman","Marcus","Marcus Earl",573186,1991-05-01
"42","Carlos Martinez","Cardinals","11682","Martinez","Carlos","Carlos Ernesto",593372,1991-09-21
"43","Craig Kimbrel","Red Sox","6655","Kimbrel","Craig","Craig Michael",518886,1988-05-28
"44","Jose Berrios","Twins","14168","Berrios","Jose","Jose Orlando",621244,1994-05-27
"45","Walker Buehler","Dodgers","19374","Buehler","Walker","Walker Anthony",621111,1994-07-28
"46","Michael Wacha","Cardinals","14078","Wacha","Michael","Michael Joseph",608379,1991-07-01
"47","Charlie Morton","Astros","4676","Morton","Charlie","Charles Alfred",450203,1983-11-12
"48","Robbie Ray","Diamondbacks","11486","Ray","Robbie","Robert Glenn",592662,1991-10-01
"49","Kyle Hendricks","Cubs","12049","Hendricks","Kyle","Kyle Christian",543294,1989-12-07
"50","Drew Pomeranz","Red Sox","11426","Pomeranz","Drew","Thomas Andrew",519141,1988-11-22
"51","J.A. Happ","- - -","7410","Happ","J. A.","James Anthony",457918,1982-10-19
"52","Jon Gray","Rockies","14916","Gray","Jon","Jonathan Charles",592351,1991-11-05
"53","Chase Anderson","Brewers","6895","Anderson","Chase","Robert Chase",502624,1987-11-30
"54","Mike Leake","- - -","10130","Leake","Mike","Michael Raymond",502190,1987-11-12
"55","Lance McCullers Jr.","Astros","14120","McCullers","Lance","Lance Graye",621121,1993-10-02
"56","Roberto Osuna","Blue Jays","13764","Osuna","Roberto","Roberto",532077,1995-02-07
"57","Ervin Santana","Twins","3200","Santana","Ervin","Ervin Ramon",429722,1982-12-12
"58","Lance Lynn","- - -","2520","Lynn","Lance","Michael Lance",458681,1987-05-12
